REGION,YEAR,MONTH,DAY,SEASON,STATION,TRANSECT,LATITUDE,LONGITUDE,DEPTH,T_SURF,T_NB,T0_50,Tmin,D_Tmin,S_NB,S0_50,STRAT,CIL,CHL0_100,SIL0_50,SIL50_150,NIT0_50,NIT50_150,XSIL0_50,XPHO0_50,PHO0_50,PHO50_150,CHLMAX,D_CHLMAX,O2_050,Cfin_CI,Cfin_CII,Cfin_CIII,Cfin_CIV,Cfin_CV,Cfin_CVI,Cfin_none,Cgla_CI,Cgla_CII,Cgla_CIII,Cgla_CIV,Cgla_CV,Cgla_CVI,Chyp_CI,Chyp_CII,Chyp_CIII,Chyp_CIV,Chyp_CV,Chyp_CVI,Chyp_none,ParaC_CI,ParaC_CII,ParaC_CIII,ParaC_CIV,ParaC_CV,ParaC_CVI,ParaC_CI_CV,ParaC_none,Cfin_IV-VI,Cglac_CIV-VI,Chyp_III-VI,Ln_Cfin_I-IV,Ln_Depth,Ln_STRAT,Ln_CHLA100,STRAT_corrNL,Ln_STRAT_corrNL,LnCglac_CI-III,Ln_Cgla_IV-VI,Ln_Cfin_IV-VI,T_0-50*Tmin,T0-50+Tmin,Ln_Chyp_I-III,Ln_Para_I_VI,TSURF-T0-50,Cfin_%CV/CV-VI,Cfin_%CVI/CV-VI,Ln ChypCIV-VI,Surveys_type
NL,1999,5,22,Spring,BB02,BB,48.8,-52.75,180,3.44,-1.158,1.235,2.093,154.357,32.988,32.436,19.125,151.779,77.97,100.43,541.74,47.52,487.58,52.9,26.73,,,,32.983,,1739,0,0,0,0,281,0,3767,580,0,0,0,100,0,1159,580,0,0,0,0,0,0,0,0,0,0,0,0,281,100,580,7.4610655144,5.1929568509,2.9509963797,4.3563241373,0.90518625,-0.099614555,8.377241231,4.605170186,5.6383546693,2.584855,3.328,7.4610655144,0,2.205,0,0.1391089109,0,TRANSECT
NL,1999,5,22,Spring,BB04,BB,48.917,-52.405,340,3.224,3.044,0.999,,124.229,34.534,32.641,11.29,205.423,59.57,76.72,404.46,29.12,478.91,47.6,18.25,,,,49.429,,2318,580,290,0,0,1159,0,3767,3188,1159,0,0,362,0,0,1449,0,580,0,0,0,0,0,0,0,0,0,0,1159,362,2029,8.0671490399,5.8289456176,2.4239173782,4.0871520916,0.5343557,-0.626693557,9.0013462438,5.8916442118,7.0553128433,,,7.2786289423,0,2.225,0,0.2666206579,6.3647507569,TRANSECT
NL,1999,,,Spring,BB05,BB,,,,,,,,,,,,,56.84,119.36,1236.07,74.52,736.1,44.85,20.97,,,,,,0,0,0,0,0,290,0,3188,290,869,0,0,290,0,580,1159,0,0,0,0,0,0,0,0,0,0,0,0,290,290,1159,,,,4.0402403032,,,8.377241231,5.669880923,5.669880923,,,7.4610655144,0,,0,1,0,TRANSECT
NL,1999,,,Spring,BB06,BB,,,,,,,,,,,,,117.7,205.25,1336.85,93.3,833.61,111.95,30.45,,,,,,580,290,290,0,0,0,0,1739,0,0,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,0,7.0561752841,,,4.7681390143,,,7.4610655144,5.669880923,,,,,0,,0,0,0,TRANSECT
NL,1999,5,23,Spring,BB07,BB,49.19,-51.538,312,2.701,2.421,0.483,,88.586,34.271,32.585,11.972,211.545,63.76,143.99,1271.28,153.7,863.53,-9.71,19.67,,,,32.7,,1739,869,0,0,580,580,0,3767,1449,580,0,0,290,0,0,1159,0,0,0,0,0,0,0,0,0,0,0,0,1160,290,1159,7.866338923,5.7430031878,2.48257059,4.1551260345,0.56663476,-0.568040345,8.6649233034,5.669880923,7.0561752841,,,7.0553128433,0,2.218,0.1539278132,0.1539278132,0,TRANSECT
NL,1999,5,23,Spring,BB08,BB,49.278,-51.278,321,3.261,3.326,1.971,,86.173,34.65,32.921,7.906,80.332,106.88,51.3,435.41,0,800.6,51.3,20.7,,,,75.955,,348,58,0,0,0,58,0,0,0,0,58,0,58,0,58,174,58,58,0,0,0,0,0,0,0,0,0,0,58,116,290,6.0063531596,5.7714411231,2.0676219649,4.6717067098,0.37419098,-0.98298897,,4.7535901911,4.0604430105,,,5.4467373717,0,1.29,0,0.125,4.7621739348,TRANSECT
NL,1999,5,23,Spring,BB09,BB,49.367,-51.017,336,3.418,3.586,1.731,,66.166,34.748,32.931,11.543,85.417,87.27,49.16,688.6,14.69,1041.19,34.47,18.36,,,,57.229,,14200,4347,290,0,0,4637,0,3767,580,0,0,0,0,290,580,580,580,290,0,0,0,0,0,0,0,0,0,0,4637,0,1450,9.8435782998,5.81711116,2.4460791926,4.4690067612,0.54633019,-0.604531742,8.377241231,,8.4418228844,,,7.2793188354,0,1.687,0,0.1975377013,6.7696419769,TRANSECT
NL,1999,5,23,Spring,BB10,BB,49.512,-50.535,330,3.408,3.659,1.513,,49.287,34.776,33.027,14.994,76.039,97.4,57.98,1074.13,66.52,1143.99,-8.54,17.99,,,,47.16,,11592,2318,580,0,0,4782,0,3478,580,0,0,580,580,0,0,580,580,2898,0,0,0,0,0,0,0,0,0,0,4782,1160,4058,9.5812140353,5.7990926545,2.7076501211,4.5788262106,0.70966602,-0.342960814,8.3084455204,7.0561752841,8.472614148,,,6.3630281035,0,1.895,0,0.248132005,8.1545001752,TRANSECT
NL,1999,5,24,Spring,BB12,BB,49.85,-49.505,1330,5.006,,4.038,0.252,84.47,,34.192,8.746,0,65.02,633.55,1560.48,391.85,1361.81,241.7,6.89,,,,15.835,,0,0,0,0,2608,11012,0,0,0,0,0,290,290,0,0,0,0,5506,2318,0,0,0,0,0,0,0,0,0,13620,580,7824,,7.1929342212,2.168596453,4.1746949149,0.41394818,-0.882014482,,6.3630281035,9.5192945797,1.017576,4.29,,0,0.968,0.1914831131,0.8085168869,8.9650790154,TRANSECT
NL,1999,5,24,Spring,BB13,BB,50,-49,1850,5.14,,4.264,,89.154,,34.311,8.615,0,64.05,572.84,1369.42,420.84,1419.79,152.01,8.59,,,,2.235,,0,145,0,0,435,5796,0,0,0,0,0,290,0,0,0,0,0,1014,0,0,0,0,0,0,0,0,0,0,6231,290,1014,4.9767337424,7.5229409181,2.15350487,4.1596640283,0.40774795,-0.897106065,,5.669880923,8.7372921125,,,,0,0.876,0.0682245922,0.909033877,6.9226438915,TRANSECT
